,Address,Neighborhood,Bed Rooms,Full Baths,Half Baths,Style,Year Built,Lot Size,Original Price,Last Price,Sold Price,Sold Date,Days on Market,Property Marketing Period
260,John St,Princeton Center,3,2,0,Colonial,1930,0.05,"$580,000.00","$580,000.00","$585,000.00",10/15/21,29,45
437,Ewing St,Princeton Center,4,2,0,Cape,1951,0.25,"$575,000.00","$595,000.00","$595,000.00",9/29/21,311,311
198,Linden Ln,Princeton Center,2,1,0,Ranch,1954,0.14,"$599,000.00","$599,000.00","$600,000.00",11/18/21,11,11
35,Pine St,Princeton Center,3,1,1,Twin,1940,NA,"$749,000.00","$699,000.00","$600,000.00",8/20/21,102,102
527,Brickhouse Rd,Washington Oaks,2,2,0,Flat,1993,NA,"$575,000.00","$575,000.00","$600,000.00",6/28/21,8,8
50,McComb Rd,Campbell Woods,2,2,1,Townhome,1996,0.43,"$579,000.00","$579,000.00","$605,000.00",7/12/21,5,5
401,Franklin Ave,Littlebrook,3,3,0,Ranch,1958,0.21,"$675,000.00","$660,000.00","$608,000.00",2/24/21,210,210
261,State Rd,Town & Country,4,2,1,Split,1957,0.26,"$550,000.00","$550,000.00","$610,000.00",4/16/21,7,7
258,N Harrison St,Princeton Center,3,1,1,Ranch,1950,0.26,"$624,000.00","$624,000.00","$611,000.00",6/25/21,7,7
218,William Livingston Ct,Griggs Farm,3,2,2,End Unit,1998,NA,"$589,000.00","$589,000.00","$612,560.00",10/28/21,7,7
178,Linden Ln,Princeton Center,3,1,1,Ranch,1950,0.14,"$650,000.00","$630,000.00","$617,500.00",10/25/21,41,41
41,Benjamin Rush Ln,Washington Oaks,2,2,1,Townhome,1993,0.05,"$650,000.00","$634,000.00","$620,000.00",5/14/21,15,15
55,Gordon Way,Queenston Common,2,2,1,Townhome,1973,0.16,"$649,000.00","$649,000.00","$630,000.00",5/11/21,42,42
6,Cameron Ct,Queenston Common,2,2,1,Townhome,1973,0.16,"$649,000.00","$635,000.00","$635,000.00",2/1/21,49,49
67,Jefferson Rd,Princeton Center,3,1,1,Twin,1930,0.17,"$600,000.00","$600,000.00","$647,000.00",10/29/21,8,8
340,Ewing St,Princeton Center,2,1,0,Ranch,1950,0.19,"$650,000.00","$650,000.00","$650,000.00",11/10/21,44,44
44,Morgan Pl,Western Section,3,2,0,Cape,1947,0.28,"$675,000.00","$650,000.00","$650,000.00",10/26/21,18,103
225,State Rd,Town & Country,4,2,1,Colonial,1955,0.28,"$689,900.00","$649,900.00","$650,000.00",4/12/21,151,151
22,Autumn Hill Ln,Littlebrook,3,3,0,Colonial,1980,2.5,"$750,000.00","$750,000.00","$653,000.00",2/10/21,9,9
36,Gordon Way,Queenston Common,3,2,1,Townhome,"$1,973.00",$0.00,"$650,000.00","$650,000.00","$655,000.00",10/15/21,7,7
238,William Livingston Ct,Griggs Farm,3,2,2,Townhome,1998,NA,"$549,000.00","$549,000.00","$660,000.00",8/12/21,2,2
73,Harriet Dr,Littlebrook,3,2,0,Ranch,1947,0.22,"$650,000.00","$650,000.00","$665,000.00",4/23/21,8,8
128,Jefferson Rd,Princeton Center,3,1,0,Twin,1926,0.1,"$695,000.00","$669,000.00","$669,000.00",6/1/21,57,57
53,Gordon Way,Queenston Common,3,2,1,Townhome,1973,0.16,"$669,000.00","$669,000.00","$669,000.00",1/21/21,8,8
