,Address,Neighborhood,Bed Rooms,Full Baths,Half Baths,Style,Year Built,Lot Size,Original Price,Last Price,Sold Price,Sold Date,Days on Market,Property Marketing Period
25,Beatty Ct,Hun Area,3,3,0,Colonial,30,0.7,"$1,125,000.00","$1,125,000.00","$1,100,000.00",4/4/16,10,10
6,James Ct,The Glen,3,2,1,Contemp,29,0.53,"$1,295,000.00","$1,100,000.00","$1,100,000.00",3/16/16,233,233
114,Lambert Dr,Rosedale Area,4,4,1,Contemp,58,3.94,"$1,150,000.00","$1,150,000.00","$1,100,000.00",1/5/16,9,9
170,Gallup Rd,Battlefield Area,3,4,1,Contemp,37,2,"$1,295,000.00","$999,999.00","$1,115,000.00",5/6/16,157,157
83,Adams Dr,Riverside,4,3,1,Colonial,53,0.46,"$1,280,000.00","$1,195,000.00","$1,145,000.00",9/1/16,130,130
27,Longview Dr,Riverside,4,4,0,Split,66,0.49,"$1,199,000.00","$1,199,000.00","$1,150,000.00",6/27/16,76,76
267,Hawthorne Ave,Princeton Center,5,4,0,Single,76,0.21,"$1,150,000.00","$1,150,000.00","$1,152,000.00",6/27/16,14,14
131,Victoria Mews 13,Princeton Center,2,2,1,Flat,0,NA,"$1,240,000.00","$1,240,000.00","$1,175,000.00",12/1/16,1,1
42,White Pine Ln,Littlebrook,5,4,1,Colonial,41,0.6,"$1,234,000.00","$1,195,000.00","$1,175,000.00",9/29/16,25,83
58,Ettl Cir,Ettl Farm,5,3,1,Colonial,19,0.63,"$1,390,000.00","$1,390,000.00","$1,175,000.00",6/30/16,196,196
10,Battlebrook Ln,Battlefield Area,5,5,0,Colonial,0,1.5,"$1,699,000.00","$1,299,000.00","$1,180,000.00",8/5/16,83,407
190,Autumn Hill Rd,Littlebrook,3,3,0,Contemp,60,1.51,"$1,180,000.00","$1,180,000.00","$1,185,000.00",6/10/16,64,64
231,Stuart Rd E,Littlebrook,4,3,0,Colonial,28,0.52,"$1,245,000.00","$1,245,000.00","$1,195,000.00",8/1/16,64,64
141,Linden Ln,Town & Country,4,4,0,Colonial,0,0.18,"$1,325,000.00","$1,295,000.00","$1,200,000.00",12/16/16,254,254
52,Clarke Ct,Hun Area,4,2,1,Colonial,29,0.58,"$1,380,000.00","$1,295,000.00","$1,200,000.00",12/16/16,153,153
33,Stuart Close,Pretty Brook Area,5,3,1,Colonial,44,2.31,"$1,350,000.00","$1,295,000.00","$1,200,000.00",12/6/16,128,128
203,Bertrand Dr,Littlebrook,4,3,1,Colonial,46,0.77,"$1,195,000.00","$1,195,000.00","$1,200,000.00",7/29/16,4,4
131,Westcott Rd,Western Section,4,3,0,Ranch,65,1.07,"$1,247,000.00","$1,247,000.00","$1,200,000.00",3/30/16,12,12
47,Carnahan Pl,Town & Country,4,3,1,Colonial,5,0.29,"$1,195,000.00","$1,195,000.00","$1,205,000.00",1/28/16,166,166
175,Arreton Rd,Princeton Ridge,4,4,1,Colonial,28,1,"$1,250,000.00","$1,250,000.00","$1,210,000.00",9/2/16,83,83
546,Ewing St,Town & Country,4,5,0,Colonial,0,0.29,"$1,499,999.00","$1,250,000.00","$1,235,000.00",9/14/16,74,165
15,Harris Rd,Princeton Center,4,3,1,Colonial,0,0.18,"$1,229,000.00","$1,229,000.00","$1,241,500.00",8/16/16,2,2
48,Maple St,Princeton Center,4,2,1,Colonial,106,0.13,"$1,250,000.00","$1,250,000.00","$1,245,000.00",10/31/16,16,16
640,Prospect Ave,Riverside,5,4,0,Cape,66,0.49,"$1,295,000.00","$1,295,000.00","$1,247,500.00",11/8/16,9,9
182,Fairway Dr,Rosedale Area,5,3,1,Colonial,45,2.15,"$1,495,000.00","$1,295,000.00","$1,250,000.00",12/19/16,171,171
60,Murray Pl,Riverside,4,3,1,Cape,96,0.14,"$1,490,000.00","$1,295,000.00","$1,250,000.00",12/12/16,128,1128
33,Brearly Rd,Hun Area,4,3,0,Traditional,28,0.59,"$1,595,000.00","$1,250,000.00","$1,250,000.00",11/30/16,230,230
42,Woodland Dr,Princeton Ridge,4,3,1,Colonial,0,0.97,"$1,295,000.00","$1,295,000.00","$1,250,000.00",11/15/16,348,348
148,Moore St,Princeton Center,4,2,2,Colonial,89,0.25,"$1,250,000.00","$1,250,000.00","$1,250,000.00",6/20/16,9,9
144,Terhune Rd,Town & Country,4,3,1,Colonial,7,0.26,"$1,325,000.00","$1,295,000.00","$1,252,500.00",7/29/16,46,46
25,Brearly Rd,Hun Area,4,4,0,Contemp,31,1.48,"$1,495,000.00","$1,325,000.00","$1,258,750.00",11/1/16,153,153
72,Adams Dr,Riverside,4,4,0,Contemp,57,0.56,"$1,295,000.00","$1,295,000.00","$1,260,000.00",6/29/16,23,23
239,Herrontown Rd,Littlebrook,5,4,1,Other Style,18,3.6,"$1,400,000.00","$1,325,000.00","$1,280,000.00",4/15/16,241,241
23,Madison St,Princeton Center,5,2,1,Victorian,113,0.22,"$1,150,000.00","$1,150,000.00","$1,290,000.00",11/22/16,8,8
11,Haslet Ave,Institute Area,5,3,1,Dutch Colonial,90,0.52,"$1,325,000.00","$1,325,000.00","$1,290,000.00",2/8/16,17,17
174,Guyot Ave,Town & Country,5,4,0,Colonial,0,0.29,"$1,450,000.00","$1,389,000.00","$1,295,000.00",12/9/16,177,177
115,Brookstone Dr,Rosedale Area,4,3,1,Contemp,56,3.64,"$1,295,000.00","$1,295,000.00","$1,295,000.00",6/8/16,9,9
12,Dorann Ave,Littlebrook,4,4,0,Colonial,0,0.26,"$1,295,000.00","$1,295,000.00","$1,295,000.00",2/1/16,17,17
35,Carnahan Pl,Town & Country,4,4,0,Colonial,0,0.26,"$1,295,000.00","$1,295,000.00","$1,295,000.00",1/15/16,17,17
279,Ewing St,Town & Country,4,4,0,Colonial,0,0.26,"$1,295,000.00","$1,295,000.00","$1,295,000.00",1/3/16,39,104
17,Springdale Rd,Institute Area,5,4,1,Colonial,77,0.27,"$1,350,000.00","$1,350,000.00","$1,300,000.00",11/15/16,46,46
33,Vreeland Ct,Hun Area,4,4,1,Colonial,30,0.57,"$1,599,000.00","$1,395,000.00","$1,300,000.00",11/15/16,280,280
721,Prospect Ave,Riverside,3,2,1,Traditional,77,0.39,"$1,495,000.00","$1,495,000.00","$1,300,000.00",10/21/16,236,236
23,Walker Dr,Ettl Farm,5,3,2,Colonial,19,0.5,"$1,325,000.00","$1,325,000.00","$1,300,000.00",5/19/16,8,8
102,Elm Rd,Western Section,6,4,1,Colonial,83,0.69,"$1,650,000.00","$1,410,000.00","$1,310,000.00",12/16/16,204,204
291,Dodds Ln,Littlebrook,5,3,0,Split,53,0.82,"$1,325,000.00","$1,325,000.00","$1,325,000.00",8/3/16,12,12
48,Sycamore Rd,Riverside,4,5,0,Colonial,9,0.18,"$1,365,000.00","$1,350,000.00","$1,325,000.00",3/31/16,29,29
78,Stonecliff Rd,Ettl Farm,5,4,1,Colonial,17,0.58,"$1,495,000.00","$1,395,000.00","$1,345,000.00",12/7/16,292,292
261,Prospect Ave,Riverside,4,3,0,Ranch,65,0.48,"$1,295,000.00","$1,295,000.00","$1,350,000.00",11/17/16,10,10
290,Hamilton Ave,Littlebrook,4,4,1,Colonial,0,0.31,"$1,359,000.00","$1,359,000.00","$1,359,000.00",3/14/16,2,2
451,Cherry Hill Rd,Princeton Ridge,6,4,2,Contemp,38,7.15,"$1,795,000.00","$1,425,000.00","$1,360,000.00",9/30/16,184,184
60,Parkside Dr,Battlefield Area,4,3,1,Ranch,62,0.69,"$1,450,000.00","$1,425,000.00","$1,365,000.00",12/29/16,205,205
25,Westerly Rd,Western Section,4,3,1,Colonial,0,0.5,"$1,399,900.00","$1,399,900.00","$1,375,000.00",2/29/16,17,17
250,Bouvant Dr,Princeton Ridge,5,4,1,Colonial,31,4.2,"$1,650,000.00","$1,450,000.00","$1,380,000.00",1/15/16,153,153
200,Mountain Ave,Western Section,5,6,1,Colonial,0,0.5,"$1,668,000.00","$1,399,000.00","$1,399,000.00",1/11/16,134,134
30,Walker Dr,Ettl Farm,4,4,2,Colonial,20,0.72,"$1,385,000.00","$1,385,000.00","$1,400,000.00",9/12/16,102,102
100,Patton Ave,Riverside,4,3,0,Colonial,9,0.18,"$1,399,000.00","$1,399,000.00","$1,404,000.00",5/20/16,10,10
317,Christopher Dr,Ettl Farm,4,3,1,Colonial,17,0.56,"$1,475,000.00","$1,475,000.00","$1,438,000.00",6/15/16,21,21
19,Foulet Dr,Princeton Ridge,5,3,1,Colonial,22,0.59,"$1,495,000.00","$1,450,000.00","$1,450,000.00",8/1/16,12,166
102,Moore St,Princeton Center,5,3,1,Colonial,86,0.15,"$1,399,000.00","$1,399,000.00","$1,455,000.00",8/18/16,30,30
2,Pardoe Rd,Western Section,5,3,1,Colonial,9,0.56,"$1,550,000.00","$1,495,000.00","$1,460,000.00",7/15/16,72,72
130,Shadybrook Ln,Littlebrook,5,4,0,Colonial,0,0.62,"$1,575,000.00","$1,535,000.00","$1,465,000.00",10/31/16,141,141
193,Ridgeview Rd,Princeton Ridge,4,3,1,Colonial,87,5.32,"$1,495,000.00","$1,495,000.00","$1,472,500.00",7/1/16,11,11
177,Terhune Rd,Town & Country,5,3,1,Colonial,0,NA,"$1,475,000.00","$1,475,000.00","$1,475,000.00",5/7/16,1,1
73,Baldwin Ln,Princeton Ridge,6,5,2,Colonial,28,3.78,"$1,898,000.00","$1,649,500.00","$1,480,000.00",10/25/16,111,111
17,Foulet Dr,Princeton Ridge,5,4,1,Colonial,23,0.59,"$1,495,000.00","$1,495,000.00","$1,495,000.00",12/6/16,18,18
395,Wendover Dr,Rosedale Area,5,5,1,French,31,2.43,"$1,550,000.00","$1,550,000.00","$1,499,500.00",6/1/16,47,47
524,Kingston Rd,Littlebrook,5,4,1,Colonial,0,0.64,"$1,689,000.00","$1,595,000.00","$1,500,000.00",7/15/16,384,384
325,Cherry Hill Rd,Princeton Ridge,3,2,1,Ranch,17,1.55,"$1,550,000.00","$1,550,000.00","$1,500,000.00",6/10/16,33,33
31,Locust Ln,Littlebrook,4,3,1,Colonial,0,0.52,"$1,600,000.00","$1,600,000.00","$1,500,000.00",4/8/16,25,25
276,Western Way,Riverside,4,3,1,Colonial,NA,0.25,"$1,459,000.00","$1,499,000.00","$1,517,500.00",11/18/16,176,176
344,Christopher Dr,Ettl Farm,5,5,1,Colonial,19,0.54,"$1,595,000.00","$1,595,000.00","$1,519,000.00",9/4/16,168,168
88,Westerly Rd,Western Section,5,4,1,Colonial,11,0.68,"$1,750,000.00","$1,675,000.00","$1,525,000.00",9/15/16,45,45
359,Christopher Dr,Ettl Farm,5,4,1,Colonial,19,0.58,"$1,525,000.00","$1,525,000.00","$1,525,000.00",7/31/16,8,8
49,Allison Rd,Western Section,4,3,1,Cape,66,0.62,"$1,545,000.00","$1,545,000.00","$1,547,000.00",10/25/16,12,12
350,Cherry Hill Rd,Princeton Ridge,4,5,1,Colonial,0,2.12,"$1,750,000.00","$1,635,000.00","$1,557,500.00",7/12/16,40,494
72,Cherry Hill Rd,Princeton Ridge,4,3,1,Contemp,5,1.78,"$1,749,000.00","$1,599,000.00","$1,563,250.00",12/15/16,117,117
10,Westcott Rd,Western Section,4,4,1,Colonial,96,0.49,"$1,695,000.00","$1,500,000.00","$1,565,000.00",12/9/16,114,114
72,Knoll Dr,Riverside,5,5,1,Colonial,7,0.53,"$1,799,000.00","$1,595,000.00","$1,575,000.00",6/14/16,350,350
26,Paul Robeson Pl,Palmer Sq,2,2,2,Townhome,0,NA,"$1,575,000.00","$1,575,000.00","$1,575,000.00",2/24/16,266,266
2,Cleveland Ln,Western Section,4,3,1,Colonial,114,0.4,"$1,595,000.00","$1,595,000.00","$1,595,000.00",7/8/16,11,11
15,Marion Rd West,Littlebrook,5,6,1,Colonial,N/A,0.46,"$1,950,000.00","$1,799,000.00","$1,621,000.00",7/30/16,284,284
351,Snowden Ln,Littlebrook,5,5,1,Colonial,0,0.53,"$1,750,000.00","$1,750,000.00","$1,650,000.00",6/20/16,273,387
5,Campbelton Rd,Western Section,5,4,1,Colonial,75,1,"$1,650,000.00","$1,650,000.00","$1,650,000.00",1/11/16,13,13
609,Kingston Rd,Riverside,6,5,2,Colonial,8,1.06,"$1,988,000.00","$1,899,999.00","$1,680,000.00",9/12/16,212,212
60,Brooks Bend,Pretty Brook Area,4,6,1,Contemp,27,5.52,"$2,500,000.00","$1,900,000.00","$1,680,000.00",4/29/16,249,249
592,Snowden Ln,Littlebrook,5,4,2,Colonial,14,2.34,"$2,100,000.00","$1,775,000.00","$1,725,000.00",7/28/16,260,293
27,Marion Rd East,Littlebrook,4,4,1,Colonial,3,0.46,"$1,888,000.00","$1,735,000.00","$1,725,000.00",6/17/16,177,177
1834,Stuart Rd W,Pretty Brook Area,5,4,2,Traditional,45,2.01,"$1,895,000.00","$1,895,000.00","$1,740,000.00",8/11/16,87,87
71,Westcott Rd,Western Section,4,3,1,Other,87,0.46,"$1,895,000.00","$1,895,000.00","$1,750,000.00",4/6/16,162,162
73,Littlebrook Rd N,Littlebrook,5,5,1,Colonial,9,1.74,"$1,999,999.00","$1,795,888.00","$1,756,888.00",9/6/16,149,149
285,Brooks Bend,Pretty Brook Area,4,4,1,Contemp,28,2.65,"$1,875,000.00","$1,875,000.00","$1,780,000.00",10/26/16,88,88
1,Audubon Ln,Rosedale Area,5,4,2,Cape,58,3.22,"$1,895,000.00","$1,895,000.00","$1,800,000.00",6/24/16,86,86
681,Prospect Ave,Riverside,4,4,0,Cape,59,0.37,"$1,890,000.00","$1,895,000.00","$1,820,000.00",8/26/16,42,42
37,Broadripple Dr,Littlebrook,5,6,1,Colonial,0,0.88,"$1,799,000.00","$1,799,000.00","$1,829,000.00",7/15/16,117,117
18,Coniston Ct,Pretty Brook Area,6,4,1,Colonial,19,1.55,"$1,795,000.00","$1,795,000.00","$1,865,000.00",8/2/16,68,68
529,Prospect Ave,Riverside,4,4,1,Colonial,NA,0.69,"$1,859,000.00","$1,859,000.00","$1,885,000.00",8/22/16,111,111
1,Ober Rd,Institute Area,5,4,2,Colonial,88,1.26,"$2,020,000.00","$1,998,000.00","$1,916,500.00",1/29/16,93,93
19,Vandeventer Av,Princeton Center,4,2,1,Colonial,235,0.22,"$2,250,000.00","$1,995,000.00","$1,925,000.00",10/14/16,212,93
115,Lafayette Rd,Western Section,6,4,2,Colonial,20,0.52,"$1,999,999.00","$1,999,999.00","$1,929,000.00",6/27/16,25,25
33,Bogart Ct,Pretty Brook Area,4,3,1,Colonial,20,4.12,"$2,350,000.00","$2,250,000.00","$1,950,000.00",9/16/16,98,98
175,Bertrand Dr,Littlebrook,5,5,1,Dutch Colonial,0,0.89,"$1,999,000.00","$1,999,999.00","$1,999,999.00",7/18/16,348,348
406,Nassau St,Littlebrook,5,4,1,Colonial,0,0.8,"$1,950,000.00","$2,150,000.00","$2,000,000.00",3/18/16,52,52
33,Lafayette Rd,Western Section,3,4,0,French,76,0.33,"$1,995,000.00","$1,995,000.00","$2,025,000.00",6/21/16,16,16
404,Nassau St,Littlebrook,5,4,1,Colonial,0,0.79,"$2,150,000.00","$2,150,000.00","$2,025,000.00",6/7/16,61,61
4553,Province Line Rd,Rosedale Area,5,6,2,Colonial,11,3.06,"$2,400,000.00","$2,150,000.00","$2,085,000.00",10/24/16,250,250
47,Winfield Rd,Western Section,6,6,2,Colonial,10,2,"$2,250,000.00","$2,250,000.00","$2,130,000.00",5/26/16,50,50
199,Highland Ter,The Preserve,5,5,2,Contemp,24,2.02,"$2,250,000.00","$2,250,000.00","$2,150,000.00",4/26/16,38,38
40,Independence Dr,Western Section,5,5,2,Colonial,71,1.57,"$2,250,000.00","$2,250,000.00","$2,160,000.00",5/6/16,12,12
321,Cherry Hill Rd,Princeton Ridge,4,5,2,Colonial,10,1.16,"$2,275,000.00","$2,275,000.00","$2,172,500.00",7/8/16,32,32
23,Coniston Ct,Pretty Brook Area,5,5,1,Colonial,17,0.73,"$2,250,000.00","$2,250,000.00","$2,200,000.00",12/2/16,64,64
7,Newlin Rd,Institute Area,5,5,1,Colonial,10,0.46,"$2,388,000.00","$2,200,000.00","$2,200,000.00",11/30/16,115,115
1092,Great Rd,Pretty Brook Area,8,6,1,Colonial,NA,8.6,"$3,295,000.00","$2,495,000.00","$2,200,000.00",1/26/16,323,73
20,Haslet Ave,Institute Area,4,3,2,Tudor,93,0.52,"$2,249,000.00","$2,249,000.00","$2,244,000.00",8/3/16,12,12
45,Cleveland Ln,Western Section,5,5,1,Colonial,126,0.46,"$2,495,000.00","$2,495,000.00","$2,400,000.00",7/7/16,15,15
2,Pheasant Hill Rd,Pretty Brook Area,5,6,2,Colonial,49,3.06,"$2,595,000.00","$2,595,000.00","$2,400,000.00",6/20/16,48,48
142,Winant Rd,Hun Area,6,5,1,Colonial,58,1.87,"$2,650,000.00","$2,650,000.00","$2,500,000.00",7/8/16,35,56
56,Cradle Rock Rd,Pretty Brook Area,6,6,1,Colonial,9,4.56,"$2,995,000.00","$2,895,000.00","$2,537,500.00",7/15/16,138,138
25,Cleveland Ln,Western Section,6,6,1,Tudor,105,0.85,"$2,495,000.00","$2,495,000.00","$2,700,000.00",1/15/16,133,133
159,Philip Dr,Riverside,4,4,1,Traditional,14,0.66,"$3,095,000.00","$3,095,000.00","$2,775,000.00",9/23/16,55,85
25,Running Cedar Rd,Pretty Brook Area,6,7,2,Colonial,10,2.13,"$3,495,000.00","$3,495,000.00","$3,100,000.00",7/11/16,43,43
58,Rosedale Rd,Rosedale Area,6,6,3,Colonial,89,1.72,"$4,285,000.00","$3,950,000.00","$3,375,000.00",12/7/16,167,167
44-K,Nassau St,Princeton Center,0,1,0,Flat,83,NA,"$240,000","$240,000","$240,000",4/15/15,26,26
79,David Brearly Ct,Griggs Farm,2,1,1,Townhome,24,0.08,"$268,000","$260,000","$250,000",9/4/15,115,115
59,David Brearly Ct,Griggs Farm,2,1,1,Townhome,24,0.08,"$275,000","$275,000","$270,500",9/15/15,20,20
196,Jonathan Dayton Ct,Griggs Farm,2,1,1,Condo,23,0.08,"$279,000","$279,000","$279,000",1/30/15,6,6
81,David Brearly Ct,Griggs Farm,3,2,1,Townhome,25,0.08,"$292,500","$292,500","$290,000",3/12/15,11,11
43,Palmer Sq W,Princeton Center,0,1,0,Flat,83,NA,"$290,000","$290,000","$290,000",3/31/15,7,7
108,William Patterson Ct,Griggs Farm,2,1,1,End Unit,24,0.08,"$298,900","$298,900","$298,900",11/13/15,12,12
36-9,Moore St,Princeton Center,1,1,0,Condo,10,NA,"$349,000","$349,000","$318,000",12/18/15,85,85
44,Birch Ave,Town & Country,2,1,0,Colonial,90,0.07,"$389,000","$360,000","$320,000",9/15/15,279,466
64,David Brearly Ct,Griggs Farm,3,2,1,Townhome,24,0.08,"$319,500","$319,500","$325,000",9/1/15,10,10
36-6,Moore St,Princeton Center,1,1,0,Condo,10,NA,"$349,000","$349,000","$325,000",12/30/15,4,4
330,N Harrison St D,Town & Country,2,2,0,Other,25,0.2,"$379,900","$348,800","$327,000",7/2/15,151,151
44-1,Park Pl,Princeton Center,1,1,0,Colonial,95,0.14,"$369,000","$348,000","$335,000",8/27/15,24,24
32A,Witherspoon Ln A,Princeton Center,2,1,0,Victorian,91,0.24,"$354,000","$354,000","$361,000",5/1/15,23,23
37,Palmer Sq W D,Princeton Center,1,1,0,Flat,82,NA,"$435,000","$419,000","$390,000",3/31/15,135,135
55,Wiggins St,Princeton Center,1,1,0,Colonial,95,0.14,"$425,000","$400,000","$394,000",8/6/15,61,61
322,Brickhouse Rd,Washington Oaks,2,2,0,Condo,22,0.05,"$410,000","$410,000","$395,000",12/17/15,43,43
12,Rollingmead St.,Littlebrook,3,1,1,Cape,80,0.22,"$475,000","$450,000","$405,000",11/10/15,55,55
521,Brickhouse Rd,Washington Oaks,2,2,0,Contemp,22,0.05,"$410,000","$410,000","$410,000",6/22/15,3,3
206,Linden Ln,Town & Country,2,1,0,Ranch,65,0.14,"$433,000","$433,000","$411,000",5/14/15,4,4
3-H,Palmer Sq W,Princeton Center,1,1,0,Flat,83,NA,"$429,000","$429,000","$415,000",6/1/15,94,94
140-B,Nassau St,Princeton Center,2,1,0,Flat,85,0.22,"$450,000","$429,000","$429,000",10/27/15,225,225
404,N Harrison St,Town & Country,3,2,0,Ranch,61,0.25,"$450,000","$450,000","$435,000",7/20/15,9,9
476,N Harrison St,Town & Country,3,1,0,Ranch,66,0.22,"$484,000","$464,000","$445,000",6/5/15,160,160
15-G,Palmer Sq W,Princeton Center,1,1,0,Flat,82,NA,"$550,000","$485,000","$450,000",6/4/15,420,420
220,State Rd,Town & Country,5,3,1,Traditional,65,0.39,"$469,000","$469,000","$450,000",7/1/15,58,58
516,Brickhouse Rd,Washington Oaks,2,2,0,Condo,22,0.05,"$425,000","$425,000","$450,000",12/15/15,8,8
21,Bank St,Princeton Center,4,1,0,Twin,115,0.03,"$548,500","$524,500","$460,000",10/1/15,46,46
32,Hillside Rd,Town & Country,3,2,0,Raised Ranch,48,0.17,"$485,000","$485,000","$475,000",4/10/15,14,14
54,S Harrison St,Riverside,3,1,1,Colonial,89,0.13,"$525,000","$500,000","$475,000",12/1/15,20,20
249,State Rd,Town & Country,4,2,1,Colonial,55,0.34,"$489,000","$489,000","$478,000",5/6/15,24,24
219,William Livingston Ct,Griggs Farm,3,2,2,Townhome,17,NA,"$479,000","$479,000","$479,000",5/29/15,12,12
161,John St,Town & Country,2,2,0,Colonial,104,0.08,"$485,000","$485,000","$485,000",3/24/15,16,16
31,Wheatsheaf Ln,Littlebrook,3,2,0,Ranch,57,0.25,"$495,000","$495,000","$485,000",7/22/15,26,26
747,Kingston Rd,Littlebrook,4,1,2,Colonial,57,0.46,"$479,900","$479,900","$489,900",8/19/15,47,47
91,Linden Ln,Princeton Center,3,1,1,Twin,85,0.25,"$599,000","$518,000","$490,000",8/13/15,214,214
255,State Rd,Town & Country,4,2,1,Split,50,0.35,"$509,900","$509,900","$495,700",6/29/15,13,13
9,Hilltop Dr,Princeton Ridge,3,2,0,Ranch,53,0.57,"$525,000","$525,000","$505,000",6/30/15,1,1
26,Murray Pl,Riverside,4,1,1,Traditional,94,0.06,"$550,000","$515,000","$505,000",8/13/15,114,114
404,Franklin Ave,Littlebrook,3,1,1,Cape,61,0.21,"$495,000","$495,000","$510,000",10/23/15,8,8
436,Mt Lucas Rd,Town & Country,5,3,0,Ranch,50,1.55,"$579,000","$579,000","$530,000",3/12/15,128,128
17,Carnahan Pl,Town & Country,4,2,0,Ranch,49,0.27,"$579,800","$579,800","$530,000",3/31/15,57,57
630,Kingston Rd,Littlebrook,3,2,0,Ranch,58,0.53,"$549,000","$540,000","$530,000",12/23/15,32,32
32,N Harrison St,Princeton Center,3,2,0,Cape,60,0.22,"$529,000","$529,000","$530,100",6/26/15,21,21
35,Maidenhead Rd,Fieldwood Manors,3,2,1,End Unit,14,0.14,"$599,900","$598,000","$535,000",1/12/15,13,13
240,Mt Lucas Rd,Town & Country,4,2,0,Colonial,94,0.19,"$684,000","$549,000","$535,000",8/12/15,329,329
23,Gordon Way,Queenston Common,3,2,1,Townhome,42,0.16,"$589,000","$559,000","$535,000",11/16/15,107,107
188,State Rd,Princeton Ridge,4,2,1,Colonial,67,0.39,"$539,000","$539,000","$539,000",8/28/15,14,14
17,Gordon Way,Queenston Common,2,2,1,Townhome,35,0.16,"$550,000","$550,000","$540,000",2/27/15,36,36
183,Linden Ln,Town & Country,3,1,1,Colonial,50,0.15,"$540,000","$540,000","$540,000",10/29/15,6,6
204,Mount Lucas Rd,Town & Country,3,1,1,Colonial,81,0.16,"$645,000","$565,900","$540,000",11/4/15,79,79
774,Kingston Rd,Littlebrook,3,1,1,Ranch,57,0.63,"$650,000","$595,000","$542,500",3/2/15,198,198
36,Mountain Ave,Western Section,3,2,1,Townhome,33,0.48,"$549,900","$549,900","$545,000",9/30/15,5,5
57,Wiggins St,Princeton Center,2,2,0,Victorian,NA,0.21,"$549,000","$549,000","$549,000",11/25/15,12,12
7,Red Hill Rd,Princeton Ridge,3,2,1,Contemp,34,0.41,"$610,000","$595,000","$550,000",5/7/15,172,172
130,Shadybrook Ln,Littlebrook,3,2,1,Split,59,0.62,"$499,000","$525,000","$550,000",5/8/15,119,119
12,Gordon Way,Queenston Common,3,2,1,Traditional,42,0.16,"$550,000","$550,000","$550,000",8/14/15,6,6
37,Fisher Ave,Littlebrook,4,1,1,Cape,60,0.21,"$549,900","$549,900","$550,000",11/9/15,10,10
67,Harriet Dr,Littlebrook,2,2,0,Ranch,64,0.22,"$597,000","$575,000","$550,000",12/30/15,206,206
239,Hamilton Ave,Queenston Common,2,2,1,End Unit,42,0.16,"$549,000","$549,000","$553,000",4/7/15,6,6
33,Benjamin Rush Ln,Washington Oaks,3,2,1,Townhome,22,0.06,"$498,888","$553,512","$553,512",8/13/15,13,13
290,Hamilton Ave,Littlebrook,4,3,0,Cape,64,0.31,"$599,000","$599,000","$560,000",5/1/15,56,56
10,Quaker Rd,Hun Area,3,2,0,Colonial,124,0.74,"$570,000","$570,000","$560,000",7/2/15,7,7
45-A,Wiggins St,Princeton Center,2,2,0,Flat,NA,NA,"$579,000","$579,000","$560,000",11/25/15,51,51
48,Aiken Ave,Riverside,3,1,0,Cape,95,0.19,"$350,000","$350,000","$560,000",11/30/15,8,8
199,Snowden Ln,Littlebrook,4,3,0,Raised Ranch,55,0.46,"$599,000","$599,000","$570,000",8/31/15,14,14
4,Madison St,Princeton Center,3,1,1,Twin,100,0.14,"$575,000","$575,000","$575,000",1/30/15,2,2
80,Linden Pl,Princeton Center,4,1,2,Colonial,85,0.14,"$499,000","$499,000","$580,000",3/27/15,11,11
512,Ewing St,Town & Country,4,2,0,Ranch,63,0.26,"$575,000","$575,000","$580,000",8/24/15,16,16
31,Trewbridge Ct,Fieldwood Manors,3,3,1,Traditional,15,0.13,"$599,000","$583,000","$583,000",7/31/15,7,7
3,Palmer Sq W A,Princeton Center,2,1,0,Flat,82,NA,"$618,000","$598,000","$590,000",3/31/15,178,243
14,Cameron Ct,Queenston Common,2,2,1,Townhome,42,0.16,"$565,000","$565,000","$590,000",6/19/15,6,6
31,Old Orchard Ln,Littlebrook,2,2,1,End Unit,33,0.1,"$599,000","$599,000","$590,000",11/30/15,8,8
6,Cameron Ct,Queenston Common,2,2,1,Townhome,42,0.16,"$575,000","$575,000","$590,000",12/3/15,1,1
478,Ewing St,Town & Country,3,1,1,Ranch,61,0.47,"$499,000","$499,000","$592,000",12/30/15,7,7
433,Walnut Ln,Town & Country,4,2,0,Ranch,61,0.27,"$630,000","$629,500","$595,000",2/13/15,81,81
338,Hamilton Ave,Littlebrook,3,1,2,Traditional,65,0.2,"$625,000","$599,000","$599,000",9/24/15,34,34
265,Ewing St,Town & Country,5,3,0,Cape,65,0.28,"$652,000","$599,900","$599,900",10/20/15,44,44
562,Ewing St,Town & Country,3,2,0,Contemp,52,0.77,"$649,000","$629,000","$600,000",7/27/15,36,140
145,Ridgeview Cir,Princeton Ridge,4,2,0,Contemp,47,2.17,"$625,000","$625,000","$602,500",3/20/15,7,7
101,Red Hill Rd,Princeton Ridge,3,2,1,Contemp,65,0.61,"$736,000","$675,000","$605,000",8/28/15,53,53
17,Red Hill Rd,Princeton Ridge,3,2,1,Contemp,35,0.31,"$610,000","$610,000","$610,000",7/10/15,3,3
44,McComb Rd,Campbell Woods,3,2,1,End Unit,20,0.43,"$658,000","$638,000","$615,000",12/10/15,20,20
43,Gordon Way,Queenston Common,3,2,1,Townhome,42,0.16,"$629,000","$629,000","$616,000",9/10/15,22,22
35,Woodland Dr,Town & Country,3,2,0,Ranch,62,0.34,"$635,000","$629,000","$619,500",3/3/15,54,54
